2026-07-22 23:10:29,029 | INFO | rlopt.IPMD | iter=6053/23071 | frames=1190068224/4535943168 | r_step=0.0587 | ep_len=362.8400 | r_ep=21.7922 | pi_loss=-0.0081 | fps=95672.3296
2026-07-22 23:12:14,396 | INFO | rlopt.IPMD | iter=6104/23071 | frames=1200095232/4535943168 | r_step=0.0584 | ep_len=348.1800 | r_ep=20.7514 | pi_loss=-0.0081 | fps=95409.5635
2026-07-22 23:13:59,304 | INFO | rlopt.IPMD | iter=6155/23071 | frames=1210122240/4535943168 | r_step=0.0582 | ep_len=321.5600 | r_ep=18.8978 | pi_loss=-0.0084 | fps=95659.1285
2026-07-22 23:15:45,595 | INFO | rlopt.IPMD | iter=6206/23071 | frames=1220149248/4535943168 | r_step=0.0584 | ep_len=321.7000 | r_ep=18.6601 | pi_loss=-0.0071 | fps=95837.8477
2026-07-22 23:17:30,663 | INFO | rlopt.IPMD | iter=6257/23071 | frames=1230176256/4535943168 | r_step=0.0585 | ep_len=329.0000 | r_ep=19.0972 | pi_loss=-0.0083 | fps=95432.3357
2026-07-22 23:19:13,567 | INFO | rlopt.IPMD | iter=6307/23071 | frames=1240006656/4535943168 | r_step=0.0587 | ep_len=347.4600 | r_ep=20.4022 | pi_loss=-0.0078 | fps=96063.4137
2026-07-22 23:20:58,549 | INFO | rlopt.IPMD | iter=6358/23071 | frames=1250033664/4535943168 | r_step=0.0586 | ep_len=343.4000 | r_ep=20.2239 | pi_loss=-0.0075 | fps=95631.6349
2026-07-22 23:22:43,203 | INFO | rlopt.IPMD | iter=6409/23071 | frames=1260060672/4535943168 | r_step=0.0587 | ep_len=343.8700 | r_ep=20.2048 | pi_loss=-0.0080 | fps=96704.9797
2026-07-22 23:24:27,934 | INFO | rlopt.IPMD | iter=6460/23071 | frames=1270087680/4535943168 | r_step=0.0585 | ep_len=340.5800 | r_ep=19.9015 | pi_loss=-0.0080 | fps=95776.4327
2026-07-22 23:26:12,728 | INFO | rlopt.IPMD | iter=6511/23071 | frames=1280114688/4535943168 | r_step=0.0587 | ep_len=320.1500 | r_ep=18.9210 | pi_loss=-0.0087 | fps=96283.6301
2026-07-22 23:27:58,986 | INFO | rlopt.IPMD | iter=6562/23071 | frames=1290141696/4535943168 | r_step=0.0587 | ep_len=307.2100 | r_ep=18.0051 | pi_loss=-0.0088 | fps=95974.0462
2026-07-22 23:29:44,276 | INFO | rlopt.IPMD | iter=6613/23071 | frames=1300168704/4535943168 | r_step=0.0588 | ep_len=353.7800 | r_ep=20.7747 | pi_loss=-0.0081 | fps=95282.1952
