2026-07-22 01:20:07,386 | INFO | rlopt.IPMD | iter=6036/33909 | frames=890044416/5000085504 | r_step=0.0603 | ep_len=327.7800 | r_ep=19.4873 | pi_loss=-0.0068 | fps=88569.0186
2026-07-22 01:22:00,696 | INFO | rlopt.IPMD | iter=6104/33909 | frames=900071424/5000085504 | r_step=0.0606 | ep_len=259.2800 | r_ep=15.6116 | pi_loss=-0.0063 | fps=88600.1684
2026-07-22 01:23:55,932 | INFO | rlopt.IPMD | iter=6172/33909 | frames=910098432/5000085504 | r_step=0.0608 | ep_len=307.8600 | r_ep=18.7556 | pi_loss=-0.0064 | fps=88489.4917
2026-07-22 01:25:49,483 | INFO | rlopt.IPMD | iter=6240/33909 | frames=920125440/5000085504 | r_step=0.0606 | ep_len=323.4900 | r_ep=19.8041 | pi_loss=-0.0066 | fps=88661.8932
2026-07-22 01:27:41,874 | INFO | rlopt.IPMD | iter=6307/33909 | frames=930004992/5000085504 | r_step=0.0609 | ep_len=297.5700 | r_ep=18.0690 | pi_loss=-0.0064 | fps=86635.2605
2026-07-22 01:29:37,548 | INFO | rlopt.IPMD | iter=6375/33909 | frames=940032000/5000085504 | r_step=0.0610 | ep_len=315.0400 | r_ep=19.2853 | pi_loss=-0.0068 | fps=86416.7565
2026-07-22 01:31:33,519 | INFO | rlopt.IPMD | iter=6443/33909 | frames=950059008/5000085504 | r_step=0.0610 | ep_len=332.5600 | r_ep=20.0623 | pi_loss=-0.0068 | fps=86521.8183
2026-07-22 01:33:29,395 | INFO | rlopt.IPMD | iter=6511/33909 | frames=960086016/5000085504 | r_step=0.0610 | ep_len=306.1400 | r_ep=18.5008 | pi_loss=-0.0065 | fps=86415.7736
2026-07-22 01:35:27,278 | INFO | rlopt.IPMD | iter=6579/33909 | frames=970113024/5000085504 | r_step=0.0610 | ep_len=299.4200 | r_ep=18.1036 | pi_loss=-0.0065 | fps=86584.1238
2026-07-22 01:37:23,427 | INFO | rlopt.IPMD | iter=6647/33909 | frames=980140032/5000085504 | r_step=0.0610 | ep_len=333.3800 | r_ep=20.2482 | pi_loss=-0.0060 | fps=86638.5716
2026-07-22 01:39:17,829 | INFO | rlopt.IPMD | iter=6714/33909 | frames=990019584/5000085504 | r_step=0.0610 | ep_len=341.0200 | r_ep=20.8541 | pi_loss=-0.0044 | fps=87051.9849
2026-07-22 01:41:13,352 | INFO | rlopt.IPMD | iter=6782/33909 | frames=1000046592/5000085504 | r_step=0.0610 | ep_len=318.2000 | r_ep=19.4958 | pi_loss=-0.0069 | fps=86625.0777
2026-07-22 01:43:09,062 | INFO | rlopt.IPMD | iter=6850/33909 | frames=1010073600/5000085504 | r_step=0.0610 | ep_len=298.8500 | r_ep=18.2416 | pi_loss=-0.0066 | fps=87021.0407
2026-07-22 01:45:04,563 | INFO | rlopt.IPMD | iter=6918/33909 | frames=1020100608/5000085504 | r_step=0.0612 | ep_len=334.1000 | r_ep=20.5199 | pi_loss=-0.0066 | fps=87096.3171
2026-07-22 01:46:59,790 | INFO | rlopt.IPMD | iter=6986/33909 | frames=1030127616/5000085504 | r_step=0.0614 | ep_len=288.6600 | r_ep=17.2686 | pi_loss=-0.0066 | fps=87502.1037
